year,cancerType,state,stat,value
2000,Infectious,CA,crude_rate,12.2
2001,Infectious,CA,deaths,4353
2001,Infectious,CA,population,34479458
2001,Infectious,CA,crude_rate,12.6
2002,Infectious,CA,deaths,4559
2002,Infectious,CA,population,34871843
2002,Infectious,CA,crude_rate,13.1
2003,Infectious,CA,deaths,4521
2003,Infectious,CA,population,35253159
2003,Infectious,CA,crude_rate,12.8
2004,Infectious,CA,deaths,4799
2004,Infectious,CA,population,35574576
2004,Infectious,CA,crude_rate,13.5
2005,Infectious,CA,deaths,4897
2005,Infectious,CA,population,35827943
2005,Infectious,CA,crude_rate,13.7
2006,Infectious,CA,deaths,4960
2006,Infectious,CA,population,36021202
2006,Infectious,CA,crude_rate,13.8
2007,Infectious,CA,deaths,4856
2007,Infectious,CA,population,36250311
2007,Infectious,CA,crude_rate,13.4
2008,Infectious,CA,deaths,5085
2008,Infectious,CA,population,36604337
2008,Infectious,CA,crude_rate,13.9
2009,Infectious,CA,deaths,5220
2009,Infectious,CA,population,36961229
2009,Infectious,CA,crude_rate,14.1
2010,Infectious,CA,deaths,5090
2010,Infectious,CA,population,37253956
2010,Infectious,CA,crude_rate,13.7
1999,Infectious,CO,deaths,533
1999,Infectious,CO,population,4226018
1999,Infectious,CO,crude_rate,12.6
2000,Infectious,CO,deaths,533
2000,Infectious,CO,population,4301261
2000,Infectious,CO,crude_rate,12.4
2001,Infectious,CO,deaths,568
2001,Infectious,CO,population,4425687
2001,Infectious,CO,crude_rate,12.8
2002,Infectious,CO,deaths,562
2002,Infectious,CO,population,4490406
2002,Infectious,CO,crude_rate,12.5
2003,Infectious,CO,deaths,676
2003,Infectious,CO,population,4528732
2003,Infectious,CO,crude_rate,14.9
2004,Infectious,CO,deaths,636
2004,Infectious,CO,population,4575013
2004,Infectious,CO,crude_rate,13.9
2005,Infectious,CO,deaths,620
2005,Infectious,CO,population,4631888
2005,Infectious,CO,crude_rate,13.4
2006,Infectious,CO,deaths,643
2006,Infectious,CO,population,4720423
2006,Infectious,CO,crude_rate,13.6
2007,Infectious,CO,deaths,641
2007,Infectious,CO,population,4803868
2007,Infectious,CO,crude_rate,13.3
2008,Infectious,CO,deaths,671
2008,Infectious,CO,population,4889730
2008,Infectious,CO,crude_rate,13.7
2009,Infectious,CO,deaths,748
2009,Infectious,CO,population,4972195
2009,Infectious,CO,crude_rate,15
2010,Infectious,CO,deaths,722
2010,Infectious,CO,population,5029196
2010,Infectious,CO,crude_rate,14.4
1999,Infectious,CT,deaths,845
1999,Infectious,CT,population,3386401
1999,Infectious,CT,crude_rate,25
2000,Infectious,CT,deaths,908
2000,Infectious,CT,population,3405565
