year,cancerType,state,stat,value
2005,Infectious,RI,deaths,229
2005,Infectious,RI,population,1067916
2005,Infectious,RI,crude_rate,21.4
2006,Infectious,RI,deaths,273
2006,Infectious,RI,population,1063096
2006,Infectious,RI,crude_rate,25.7
2007,Infectious,RI,deaths,309
2007,Infectious,RI,population,1057315
2007,Infectious,RI,crude_rate,29.2
2008,Infectious,RI,deaths,305
2008,Infectious,RI,population,1055003
2008,Infectious,RI,crude_rate,28.9
2009,Infectious,RI,deaths,334
2009,Infectious,RI,population,1053646
2009,Infectious,RI,crude_rate,31.7
2010,Infectious,RI,deaths,340
2010,Infectious,RI,population,1052567
2010,Infectious,RI,crude_rate,32.3
1999,Infectious,SC,deaths,1032
1999,Infectious,SC,population,3974682
1999,Infectious,SC,crude_rate,26
2000,Infectious,SC,deaths,991
2000,Infectious,SC,population,4012012
2000,Infectious,SC,crude_rate,24.7
2001,Infectious,SC,deaths,1071
2001,Infectious,SC,population,4064995
2001,Infectious,SC,crude_rate,26.3
2002,Infectious,SC,deaths,1179
2002,Infectious,SC,population,4107795
2002,Infectious,SC,crude_rate,28.7
2003,Infectious,SC,deaths,1144
2003,Infectious,SC,population,4150297
2003,Infectious,SC,crude_rate,27.6
2004,Infectious,SC,deaths,1121
2004,Infectious,SC,population,4210921
2004,Infectious,SC,crude_rate,26.6
2005,Infectious,SC,deaths,1124
2005,Infectious,SC,population,4270150
2005,Infectious,SC,crude_rate,26.3
2006,Infectious,SC,deaths,1138
2006,Infectious,SC,population,4357847
2006,Infectious,SC,crude_rate,26.1
2007,Infectious,SC,deaths,1284
2007,Infectious,SC,population,4444110
2007,Infectious,SC,crude_rate,28.9
2008,Infectious,SC,deaths,1192
2008,Infectious,SC,population,4528996
2008,Infectious,SC,crude_rate,26.3
2009,Infectious,SC,deaths,1222
2009,Infectious,SC,population,4589872
2009,Infectious,SC,crude_rate,26.6
2010,Infectious,SC,deaths,1232
2010,Infectious,SC,population,4625364
2010,Infectious,SC,crude_rate,26.6
1999,Infectious,SD,deaths,103
1999,Infectious,SD,population,750412
1999,Infectious,SD,crude_rate,13.7
2000,Infectious,SD,deaths,84
2000,Infectious,SD,population,754844
2000,Infectious,SD,crude_rate,11.1
2001,Infectious,SD,deaths,99
2001,Infectious,SD,population,757972
2001,Infectious,SD,crude_rate,13.1
2002,Infectious,SD,deaths,106
2002,Infectious,SD,population,760020
2002,Infectious,SD,crude_rate,13.9
2003,Infectious,SD,deaths,131
2003,Infectious,SD,population,763729
2003,Infectious,SD,crude_rate,17.2
2004,Infectious,SD,deaths,80
2004,Infectious,SD,population,770396
2004,Infectious,SD,crude_rate,10.4
2005,Infectious,SD,deaths,106
2005,Infectious,SD,population,775493
2005,Infectious,SD,crude_rate,13.7
2006,Infectious,SD,deaths,132
2006,Infectious,SD,population,783033
2006,Infectious,SD,crude_rate,16.9
2007,Infectious,SD,deaths,117
2007,Infectious,SD,population,791623
2007,Infectious,SD,crude_rate,14.8
2008,Infectious,SD,deaths,109
2008,Infectious,SD,population,799124
2008,Infectious,SD,crude_rate,13.6
2009,Infectious,SD,deaths,130
2009,Infectious,SD,population,807067
2009,Infectious,SD,crude_rate,16.1
2010,Infectious,SD,deaths,140
2010,Infectious,SD,population,814180
2010,Infectious,SD,crude_rate,17.2
1999,Infectious,TN,deaths,1148
1999,Infectious,TN,population,5638706
1999,Infectious,TN,crude_rate,20.4
2000,Infectious,TN,deaths,1093
2000,Infectious,TN,population,5689283
2000,Infectious,TN,crude_rate,19.2
2001,Infectious,TN,deaths,1119
2001,Infectious,TN,population,5750789
2001,Infectious,TN,crude_rate,19.5
2002,Infectious,TN,deaths,1380
2002,Infectious,TN,population,5795918
2002,Infectious,TN,crude_rate,23.8
2003,Infectious,TN,deaths,1332
2003,Infectious,TN,population,5847812
2003,Infectious,TN,crude_rate,22.8
2004,Infectious,TN,deaths,1302
2004,Infectious,TN,population,5910809
2004,Infectious,TN,crude_rate,22
2005,Infectious,TN,deaths,1370
2005,Infectious,TN,population,5991057
2005,Infectious,TN,crude_rate,22.9
2006,Infectious,TN,deaths,1392
2006,Infectious,TN,population,6088766
2006,Infectious,TN,crude_rate,22.9
2007,Infectious,TN,deaths,1444
2007,Infectious,TN,population,6175727
2007,Infectious,TN,crude_rate,23.4
2008,Infectious,TN,deaths,1560
2008,Infectious,TN,population,6247411
2008,Infectious,TN,crude_rate,25
2009,Infectious,TN,deaths,1518
2009,Infectious,TN,population,6306019
2009,Infectious,TN,crude_rate,24.1
2010,Infectious,TN,deaths,1495
2010,Infectious,TN,population,6346105
2010,Infectious,TN,crude_rate,23.6
1999,Infectious,TX,deaths,4143
1999,Infectious,TX,population,20558220
1999,Infectious,TX,crude_rate,20.2
2000,Infectious,TX,deaths,4088
2000,Infectious,TX,population,20851820
2000,Infectious,TX,crude_rate,19.6
2001,Infectious,TX,deaths,4165
2001,Infectious,TX,population,21319622
2001,Infectious,TX,crude_rate,19.5
2002,Infectious,TX,deaths,4539
2002,Infectious,TX,population,21690325
2002,Infectious,TX,crude_rate,20.9
2003,Infectious,TX,deaths,4565
2003,Infectious,TX,population,22030931
2003,Infectious,TX,crude_rate,20.7
2004,Infectious,TX,deaths,4698
2004,Infectious,TX,population,22394023
2004,Infectious,TX,crude_rate,21
2005,Infectious,TX,deaths,4894
2005,Infectious,TX,population,22778123
2005,Infectious,TX,crude_rate,21.5
2006,Infectious,TX,deaths,5104
2006,Infectious,TX,population,23359580
2006,Infectious,TX,crude_rate,21.8
2007,Infectious,TX,deaths,5224
2007,Infectious,TX,population,23831983
2007,Infectious,TX,crude_rate,21.9
2008,Infectious,TX,deaths,5293
2008,Infectious,TX,population,24309039
2008,Infectious,TX,crude_rate,21.8
2009,Infectious,TX,deaths,5579
2009,Infectious,TX,population,24801761
2009,Infectious,TX,crude_rate,22.5
2010,Infectious,TX,deaths,5571
2010,Infectious,TX,population,25145561
2010,Infectious,TX,crude_rate,22.2
1999,Infectious,UT,deaths,224
1999,Infectious,UT,population,2203482
1999,Infectious,UT,crude_rate,10.2
2000,Infectious,UT,deaths,178
2000,Infectious,UT,population,2233169
2000,Infectious,UT,crude_rate,8
2001,Infectious,UT,deaths,207
2001,Infectious,UT,population,2283715
2001,Infectious,UT,crude_rate,9.1
2002,Infectious,UT,deaths,206
2002,Infectious,UT,population,2324815
2002,Infectious,UT,crude_rate,8.9
2003,Infectious,UT,deaths,221
2003,Infectious,UT,population,2360137
2003,Infectious,UT,crude_rate,9.4
2004,Infectious,UT,deaths,234
2004,Infectious,UT,population,2401580
2004,Infectious,UT,crude_rate,9.7
2005,Infectious,UT,deaths,181
2005,Infectious,UT,population,2457719
2005,Infectious,UT,crude_rate,7.4
2006,Infectious,UT,deaths,223
2006,Infectious,UT,population,2525507
2006,Infectious,UT,crude_rate,8.8
2007,Infectious,UT,deaths,238
2007,Infectious,UT,population,2597746
2007,Infectious,UT,crude_rate,9.2
2008,Infectious,UT,deaths,245
2008,Infectious,UT,population,2663029
2008,Infectious,UT,crude_rate,9.2
2009,Infectious,UT,deaths,244
2009,Infectious,UT,population,2723421
2009,Infectious,UT,crude_rate,9
2010,Infectious,UT,deaths,274
2010,Infectious,UT,population,2763885
2010,Infectious,UT,crude_rate,9.9
1999,Infectious,VT,deaths,89
1999,Infectious,VT,population,604683
1999,Infectious,VT,crude_rate,14.7
2000,Infectious,VT,deaths,63
2000,Infectious,VT,population,608827
2000,Infectious,VT,crude_rate,10.3
2001,Infectious,VT,deaths,87
2001,Infectious,VT,population,612223
2001,Infectious,VT,crude_rate,14.2
2002,Infectious,VT,deaths,81
2002,Infectious,VT,population,615442
2002,Infectious,VT,crude_rate,13.2
2003,Infectious,VT,deaths,66
2003,Infectious,VT,population,617858
2003,Infectious,VT,crude_rate,10.7
2004,Infectious,VT,deaths,85
2004,Infectious,VT,population,619920
2004,Infectious,VT,crude_rate,13.7
2005,Infectious,VT,deaths,89
2005,Infectious,VT,population,621215
2005,Infectious,VT,crude_rate,14.3
2006,Infectious,VT,deaths,69
2006,Infectious,VT,population,622892
2006,Infectious,VT,crude_rate,11.1
2007,Infectious,VT,deaths,80
2007,Infectious,VT,population,623481
2007,Infectious,VT,crude_rate,12.8
2008,Infectious,VT,deaths,79
2008,Infectious,VT,population,624151
2008,Infectious,VT,crude_rate,12.7
2009,Infectious,VT,deaths,89
2009,Infectious,VT,population,624817
2009,Infectious,VT,crude_rate,14.2
2010,Infectious,VT,deaths,93
2010,Infectious,VT,population,625741
2010,Infectious,VT,crude_rate,14.9
1999,Infectious,VA,deaths,1612
1999,Infectious,VA,population,7000174
1999,Infectious,VA,crude_rate,23
2000,Infectious,VA,deaths,1646
2000,Infectious,VA,population,7078515
2000,Infectious,VA,crude_rate,23.3
2001,Infectious,VA,deaths,1647
2001,Infectious,VA,population,7198362
2001,Infectious,VA,crude_rate,22.9
2002,Infectious,VA,deaths,1740
2002,Infectious,VA,population,7286873
2002,Infectious,VA,crude_rate,23.9
2003,Infectious,VA,deaths,1900
2003,Infectious,VA,population,7366977
2003,Infectious,VA,crude_rate,25.8
2004,Infectious,VA,deaths,1772
2004,Infectious,VA,population,7475575
2004,Infectious,VA,crude_rate,23.7
2005,Infectious,VA,deaths,1863
2005,Infectious,VA,population,7577105
2005,Infectious,VA,crude_rate,24.6
2006,Infectious,VA,deaths,1914
2006,Infectious,VA,population,7673725
2006,Infectious,VA,crude_rate,24.9
2007,Infectious,VA,deaths,2039
2007,Infectious,VA,population,7751000
2007,Infectious,VA,crude_rate,26.3
2008,Infectious,VA,deaths,2039
2008,Infectious,VA,population,7833496
2008,Infectious,VA,crude_rate,26
2009,Infectious,VA,deaths,2069
2009,Infectious,VA,population,7925937
2009,Infectious,VA,crude_rate,26.1
2010,Infectious,VA,deaths,2042
2010,Infectious,VA,population,8001024
2010,Infectious,VA,crude_rate,25.5
1999,Infectious,WA,deaths,739
1999,Infectious,WA,population,5842564
1999,Infectious,WA,crude_rate,12.6
2000,Infectious,WA,deaths,795
2000,Infectious,WA,population,5894121
2000,Infectious,WA,crude_rate,13.5
2001,Infectious,WA,deaths,772
2001,Infectious,WA,population,5985722
2001,Infectious,WA,crude_rate,12.9
2002,Infectious,WA,deaths,832
2002,Infectious,WA,population,6052349
2002,Infectious,WA,crude_rate,13.7
2003,Infectious,WA,deaths,849
2003,Infectious,WA,population,6104115
2003,Infectious,WA,crude_rate,13.9
2004,Infectious,WA,deaths,826
2004,Infectious,WA,population,6178645
2004,Infectious,WA,crude_rate,13.4
2005,Infectious,WA,deaths,957
2005,Infectious,WA,population,6257305
2005,Infectious,WA,crude_rate,15.3
2006,Infectious,WA,deaths,940
2006,Infectious,WA,population,6370753
2006,Infectious,WA,crude_rate,14.8
2007,Infectious,WA,deaths,980
2007,Infectious,WA,population,6461587
2007,Infectious,WA,crude_rate,15.2
2008,Infectious,WA,deaths,1062
2008,Infectious,WA,population,6562231
2008,Infectious,WA,crude_rate,16.2
2009,Infectious,WA,deaths,1168
2009,Infectious,WA,population,6667426
2009,Infectious,WA,crude_rate,17.5
2010,Infectious,WA,deaths,1144
2010,Infectious,WA,population,6724540
2010,Infectious,WA,crude_rate,17
1999,Infectious,WV,deaths,382
1999,Infectious,WV,population,1811799
1999,Infectious,WV,crude_rate,21.1
2000,Infectious,WV,deaths,427
2000,Infectious,WV,population,1808344
2000,Infectious,WV,crude_rate,23.6
2001,Infectious,WV,deaths,443
2001,Infectious,WV,population,1801481
2001,Infectious,WV,crude_rate,24.6
2002,Infectious,WV,deaths,410
2002,Infectious,WV,population,1805414
2002,Infectious,WV,crude_rate,22.7
2003,Infectious,WV,deaths,418
2003,Infectious,WV,population,1812295
2003,Infectious,WV,crude_rate,23.1
2004,Infectious,WV,deaths,461
2004,Infectious,WV,population,1816438
2004,Infectious,WV,crude_rate,25.4
2005,Infectious,WV,deaths,460
2005,Infectious,WV,population,1820492
2005,Infectious,WV,crude_rate,25.3
2006,Infectious,WV,deaths,493
2006,Infectious,WV,population,1827912
2006,Infectious,WV,crude_rate,27
2007,Infectious,WV,deaths,493
2007,Infectious,WV,population,1834052
2007,Infectious,WV,crude_rate,26.9
2008,Infectious,WV,deaths,535
2008,Infectious,WV,population,1840310
2008,Infectious,WV,crude_rate,29.1
2009,Infectious,WV,deaths,569
2009,Infectious,WV,population,1847775
2009,Infectious,WV,crude_rate,30.8
2010,Infectious,WV,deaths,503
2010,Infectious,WV,population,1852994
2010,Infectious,WV,crude_rate,27.1
1999,Infectious,WI,deaths,626
1999,Infectious,WI,population,5332666
1999,Infectious,WI,crude_rate,11.7
2000,Infectious,WI,deaths,650
2000,Infectious,WI,population,5363675
2000,Infectious,WI,crude_rate,12.1
2001,Infectious,WI,deaths,672
2001,Infectious,WI,population,5406835
2001,Infectious,WI,crude_rate,12.4
2002,Infectious,WI,deaths,697
2002,Infectious,WI,population,5445162
2002,Infectious,WI,crude_rate,12.8
2003,Infectious,WI,deaths,687
2003,Infectious,WI,population,5479203
2003,Infectious,WI,crude_rate,12.5
2004,Infectious,WI,deaths,686
2004,Infectious,WI,population,5514026
2004,Infectious,WI,crude_rate,12.4
2005,Infectious,WI,deaths,712
2005,Infectious,WI,population,5546166
2005,Infectious,WI,crude_rate,12.8
2006,Infectious,WI,deaths,746
2006,Infectious,WI,population,5577655
2006,Infectious,WI,crude_rate,13.4
2007,Infectious,WI,deaths,782
2007,Infectious,WI,population,5610775
2007,Infectious,WI,crude_rate,13.9
2008,Infectious,WI,deaths,812
2008,Infectious,WI,population,5640996
2008,Infectious,WI,crude_rate,14.4
2009,Infectious,WI,deaths,893
2009,Infectious,WI,population,5669264
2009,Infectious,WI,crude_rate,15.8
2010,Infectious,WI,deaths,815
2010,Infectious,WI,population,5686986
2010,Infectious,WI,crude_rate,14.3
1999,Infectious,WY,deaths,47
1999,Infectious,WY,population,491780
1999,Infectious,WY,crude_rate,9.6
2000,Infectious,WY,deaths,60
2000,Infectious,WY,population,493782
2000,Infectious,WY,crude_rate,12.2
2001,Infectious,WY,deaths,50
2001,Infectious,WY,population,494657
2001,Infectious,WY,crude_rate,10.1
2002,Infectious,WY,deaths,62
2002,Infectious,WY,population,500017
2002,Infectious,WY,crude_rate,12.4
2003,Infectious,WY,deaths,77
2003,Infectious,WY,population,503453
2003,Infectious,WY,crude_rate,15.3
2004,Infectious,WY,deaths,68
2004,Infectious,WY,population,509106
2004,Infectious,WY,crude_rate,13.4
2005,Infectious,WY,deaths,67
2005,Infectious,WY,population,514157
2005,Infectious,WY,crude_rate,13
2006,Infectious,WY,deaths,67
2006,Infectious,WY,population,522667
2006,Infectious,WY,crude_rate,12.8
2007,Infectious,WY,deaths,75
2007,Infectious,WY,population,534876
2007,Infectious,WY,crude_rate,14
2008,Infectious,WY,deaths,78
2008,Infectious,WY,population,546043
2008,Infectious,WY,crude_rate,14.3
2009,Infectious,WY,deaths,90
2009,Infectious,WY,population,559851
2009,Infectious,WY,crude_rate,16.1
2010,Infectious,WY,deaths,91
2010,Infectious,WY,population,563626
2010,Infectious,WY,crude_rate,16.1
1999,Neoplasms,AL,deaths,9743
1999,Neoplasms,AL,population,4430141
1999,Neoplasms,AL,crude_rate,219.9
2000,Neoplasms,AL,deaths,10041
2000,Neoplasms,AL,population,4447100
2000,Neoplasms,AL,crude_rate,225.8
2001,Neoplasms,AL,deaths,10039
2001,Neoplasms,AL,population,4467634
2001,Neoplasms,AL,crude_rate,224.7
2002,Neoplasms,AL,deaths,9922
2002,Neoplasms,AL,population,4480089
2002,Neoplasms,AL,crude_rate,221.5
2003,Neoplasms,AL,deaths,10022
2003,Neoplasms,AL,population,4503491
2003,Neoplasms,AL,crude_rate,222.5
2004,Neoplasms,AL,deaths,9993
2004,Neoplasms,AL,population,4530729
2004,Neoplasms,AL,crude_rate,220.6
2005,Neoplasms,AL,deaths,10142
2005,Neoplasms,AL,population,4569805
2005,Neoplasms,AL,crude_rate,221.9
2006,Neoplasms,AL,deaths,10125
2006,Neoplasms,AL,population,4628981
2006,Neoplasms,AL,crude_rate,218.7
2007,Neoplasms,AL,deaths,10255
2007,Neoplasms,AL,population,4672840
2007,Neoplasms,AL,crude_rate,219.5
2008,Neoplasms,AL,deaths,10452
2008,Neoplasms,AL,population,4718206
2008,Neoplasms,AL,crude_rate,221.5
2009,Neoplasms,AL,deaths,10513
2009,Neoplasms,AL,population,4757938
2009,Neoplasms,AL,crude_rate,221
2010,Neoplasms,AL,deaths,10429
2010,Neoplasms,AL,population,4779736
2010,Neoplasms,AL,crude_rate,218.2
1999,Neoplasms,AK,deaths,654
1999,Neoplasms,AK,population,624779
1999,Neoplasms,AK,crude_rate,104.7
2000,Neoplasms,AK,deaths,717
2000,Neoplasms,AK,population,626932
2000,Neoplasms,AK,crude_rate,114.4
2001,Neoplasms,AK,deaths,709
2001,Neoplasms,AK,population,633714
2001,Neoplasms,AK,crude_rate,111.9
2002,Neoplasms,AK,deaths,728
2002,Neoplasms,AK,population,642337
2002,Neoplasms,AK,crude_rate,113.3
2003,Neoplasms,AK,deaths,750
2003,Neoplasms,AK,population,648414
2003,Neoplasms,AK,crude_rate,115.7
2004,Neoplasms,AK,deaths,751
2004,Neoplasms,AK,population,659286
2004,Neoplasms,AK,crude_rate,113.9
2005,Neoplasms,AK,deaths,752
2005,Neoplasms,AK,population,666946
2005,Neoplasms,AK,crude_rate,112.8
2006,Neoplasms,AK,deaths,815
2006,Neoplasms,AK,population,675302
2006,Neoplasms,AK,crude_rate,120.7
2007,Neoplasms,AK,deaths,853
2007,Neoplasms,AK,population,680300
2007,Neoplasms,AK,crude_rate,125.4
2008,Neoplasms,AK,deaths,878
2008,Neoplasms,AK,population,687455
2008,Neoplasms,AK,crude_rate,127.7
2009,Neoplasms,AK,deaths,909
2009,Neoplasms,AK,population,698895
2009,Neoplasms,AK,crude_rate,130.1
2010,Neoplasms,AK,deaths,910
2010,Neoplasms,AK,population,710231
2010,Neoplasms,AK,crude_rate,128.1
1999,Neoplasms,AZ,deaths,9222
1999,Neoplasms,AZ,population,5023823
1999,Neoplasms,AZ,crude_rate,183.6
2000,Neoplasms,AZ,deaths,9367
2000,Neoplasms,AZ,population,5130632
2000,Neoplasms,AZ,crude_rate,182.6
2001,Neoplasms,AZ,deaths,9415
2001,Neoplasms,AZ,population,5273477
2001,Neoplasms,AZ,crude_rate,178.5
2002,Neoplasms,AZ,deaths,9661
2002,Neoplasms,AZ,population,5396255
2002,Neoplasms,AZ,crude_rate,179
2003,Neoplasms,AZ,deaths,9884
2003,Neoplasms,AZ,population,5510364
2003,Neoplasms,AZ,crude_rate,179.4
2004,Neoplasms,AZ,deaths,10000
2004,Neoplasms,AZ,population,5652404
2004,Neoplasms,AZ,crude_rate,176.9
2005,Neoplasms,AZ,deaths,10258
2005,Neoplasms,AZ,population,5839077
2005,Neoplasms,AZ,crude_rate,175.7
2006,Neoplasms,AZ,deaths,10388
2006,Neoplasms,AZ,population,6029141
2006,Neoplasms,AZ,crude_rate,172.3
2007,Neoplasms,AZ,deaths,10588
2007,Neoplasms,AZ,population,6167681
2007,Neoplasms,AZ,crude_rate,171.7
2008,Neoplasms,AZ,deaths,10585
2008,Neoplasms,AZ,population,6280362
2008,Neoplasms,AZ,crude_rate,168.5
2009,Neoplasms,AZ,deaths,10762
2009,Neoplasms,AZ,population,6343154
2009,Neoplasms,AZ,crude_rate,169.7
2010,Neoplasms,AZ,deaths,11129
2010,Neoplasms,AZ,population,6392017
2010,Neoplasms,AZ,crude_rate,174.1
1999,Neoplasms,AR,deaths,6270
1999,Neoplasms,AR,population,2651860
1999,Neoplasms,AR,crude_rate,236.4
2000,Neoplasms,AR,deaths,6205
2000,Neoplasms,AR,population,2673400
2000,Neoplasms,AR,crude_rate,232.1
2001,Neoplasms,AR,deaths,6210
2001,Neoplasms,AR,population,2691571
2001,Neoplasms,AR,crude_rate,230.7
2002,Neoplasms,AR,deaths,6414
2002,Neoplasms,AR,population,2705927
2002,Neoplasms,AR,crude_rate,237
2003,Neoplasms,AR,deaths,6257
2003,Neoplasms,AR,population,2724816
2003,Neoplasms,AR,crude_rate,229.6
2004,Neoplasms,AR,deaths,6450
2004,Neoplasms,AR,population,2749686
2004,Neoplasms,AR,crude_rate,234.6
2005,Neoplasms,AR,deaths,6495
2005,Neoplasms,AR,population,2781097
2005,Neoplasms,AR,crude_rate,233.5
2006,Neoplasms,AR,deaths,6310
2006,Neoplasms,AR,population,2821761
2006,Neoplasms,AR,crude_rate,223.6
2007,Neoplasms,AR,deaths,6534
2007,Neoplasms,AR,population,2848650
2007,Neoplasms,AR,crude_rate,229.4
2008,Neoplasms,AR,deaths,6663
2008,Neoplasms,AR,population,2874554
2008,Neoplasms,AR,crude_rate,231.8
2009,Neoplasms,AR,deaths,6633
2009,Neoplasms,AR,population,2896843
2009,Neoplasms,AR,crude_rate,229
2010,Neoplasms,AR,deaths,6616
2010,Neoplasms,AR,population,2915918
2010,Neoplasms,AR,crude_rate,226.9
1999,Neoplasms,CA,deaths,54197
1999,Neoplasms,CA,population,33499204
1999,Neoplasms,CA,crude_rate,161.8
2000,Neoplasms,CA,deaths,54338
2000,Neoplasms,CA,population,33871648
2000,Neoplasms,CA,crude_rate,160.4
2001,Neoplasms,CA,deaths,55095
2001,Neoplasms,CA,population,34479458
2001,Neoplasms,CA,crude_rate,159.8
2002,Neoplasms,CA,deaths,55400
2002,Neoplasms,CA,population,34871843
2002,Neoplasms,CA,crude_rate,158.9
2003,Neoplasms,CA,deaths,55607
2003,Neoplasms,CA,population,35253159
2003,Neoplasms,CA,crude_rate,157.7
2004,Neoplasms,CA,deaths,54911
2004,Neoplasms,CA,population,35574576
2004,Neoplasms,CA,crude_rate,154.4
2005,Neoplasms,CA,deaths,55937
2005,Neoplasms,CA,population,35827943
2005,Neoplasms,CA,crude_rate,156.1
2006,Neoplasms,CA,deaths,55456
2006,Neoplasms,CA,population,36021202
2006,Neoplasms,CA,crude_rate,154
2007,Neoplasms,CA,deaths,56352
2007,Neoplasms,CA,population,36250311
2007,Neoplasms,CA,crude_rate,155.5
2008,Neoplasms,CA,deaths,56016
2008,Neoplasms,CA,population,36604337
2008,Neoplasms,CA,crude_rate,153
2009,Neoplasms,CA,deaths,57271
2009,Neoplasms,CA,population,36961229
2009,Neoplasms,CA,crude_rate,154.9
2010,Neoplasms,CA,deaths,57820
2010,Neoplasms,CA,population,37253956
2010,Neoplasms,CA,crude_rate,155.2
1999,Neoplasms,CO,deaths,6007
1999,Neoplasms,CO,population,4226018
1999,Neoplasms,CO,crude_rate,142.1
2000,Neoplasms,CO,deaths,6086
2000,Neoplasms,CO,population,4301261
2000,Neoplasms,CO,crude_rate,141.5
2001,Neoplasms,CO,deaths,6309
2001,Neoplasms,CO,population,4425687
2001,Neoplasms,CO,crude_rate,142.6
2002,Neoplasms,CO,deaths,6539
2002,Neoplasms,CO,population,4490406
2002,Neoplasms,CO,crude_rate,145.6
2003,Neoplasms,CO,deaths,6564
2003,Neoplasms,CO,population,4528732
2003,Neoplasms,CO,crude_rate,144.9
2004,Neoplasms,CO,deaths,6341
2004,Neoplasms,CO,population,4575013
2004,Neoplasms,CO,crude_rate,138.6
2005,Neoplasms,CO,deaths,6601
2005,Neoplasms,CO,population,4631888
2005,Neoplasms,CO,crude_rate,142.5
2006,Neoplasms,CO,deaths,6740
2006,Neoplasms,CO,population,4720423
2006,Neoplasms,CO,crude_rate,142.8
2007,Neoplasms,CO,deaths,6793
2007,Neoplasms,CO,population,4803868
2007,Neoplasms,CO,crude_rate,141.4
2008,Neoplasms,CO,deaths,6901
2008,Neoplasms,CO,population,4889730
2008,Neoplasms,CO,crude_rate,141.1
2009,Neoplasms,CO,deaths,7134
2009,Neoplasms,CO,population,4972195
2009,Neoplasms,CO,crude_rate,143.5
2010,Neoplasms,CO,deaths,7220
2010,Neoplasms,CO,population,5029196
2010,Neoplasms,CO,crude_rate,143.6
1999,Neoplasms,CT,deaths,7242
1999,Neoplasms,CT,population,3386401
1999,Neoplasms,CT,crude_rate,213.9
2000,Neoplasms,CT,deaths,7257
2000,Neoplasms,CT,population,3405565
2000,Neoplasms,CT,crude_rate,213.1
2001,Neoplasms,CT,deaths,7292
2001,Neoplasms,CT,population,3432835
2001,Neoplasms,CT,crude_rate,212.4
2002,Neoplasms,CT,deaths,7346
2002,Neoplasms,CT,population,3458749
2002,Neoplasms,CT,crude_rate,212.4
2003,Neoplasms,CT,deaths,7339
2003,Neoplasms,CT,population,3484336
2003,Neoplasms,CT,crude_rate,210.6
2004,Neoplasms,CT,deaths,7379
2004,Neoplasms,CT,population,3496094
2004,Neoplasms,CT,crude_rate,211.1
2005,Neoplasms,CT,deaths,7276
2005,Neoplasms,CT,population,3506956
2005,Neoplasms,CT,crude_rate,207.5
2006,Neoplasms,CT,deaths,7243
2006,Neoplasms,CT,population,3517460
2006,Neoplasms,CT,crude_rate,205.9
2007,Neoplasms,CT,deaths,7010
2007,Neoplasms,CT,population,3527270
2007,Neoplasms,CT,crude_rate,198.7
2008,Neoplasms,CT,deaths,7023
2008,Neoplasms,CT,population,3545579
2008,Neoplasms,CT,crude_rate,198.1
2009,Neoplasms,CT,deaths,7038
2009,Neoplasms,CT,population,3561807
2009,Neoplasms,CT,crude_rate,197.6
2010,Neoplasms,CT,deaths,7170
2010,Neoplasms,CT,population,3574097
2010,Neoplasms,CT,crude_rate,200.6
1999,Neoplasms,DE,deaths,1780
1999,Neoplasms,DE,population,774990
1999,Neoplasms,DE,crude_rate,229.7
2000,Neoplasms,DE,deaths,1644
2000,Neoplasms,DE,population,783600
2000,Neoplasms,DE,crude_rate,209.8
2001,Neoplasms,DE,deaths,1828
2001,Neoplasms,DE,population,795699
2001,Neoplasms,DE,crude_rate,229.7
2002,Neoplasms,DE,deaths,1666
2002,Neoplasms,DE,population,806169
2002,Neoplasms,DE,crude_rate,206.7
2003,Neoplasms,DE,deaths,1755
2003,Neoplasms,DE,population,818003
2003,Neoplasms,DE,crude_rate,214.5
2004,Neoplasms,DE,deaths,1863
2004,Neoplasms,DE,population,830803
2004,Neoplasms,DE,crude_rate,224.2
2005,Neoplasms,DE,deaths,1848
2005,Neoplasms,DE,population,845150
2005,Neoplasms,DE,crude_rate,218.7
2006,Neoplasms,DE,deaths,1821
2006,Neoplasms,DE,population,859268
2006,Neoplasms,DE,crude_rate,211.9
2007,Neoplasms,DE,deaths,1899
2007,Neoplasms,DE,population,871749
2007,Neoplasms,DE,crude_rate,217.8
2008,Neoplasms,DE,deaths,1945
2008,Neoplasms,DE,population,883874
2008,Neoplasms,DE,crude_rate,220.1
2009,Neoplasms,DE,deaths,1869
2009,Neoplasms,DE,population,891730
2009,Neoplasms,DE,crude_rate,209.6
2010,Neoplasms,DE,deaths,1956
2010,Neoplasms,DE,population,897934
2010,Neoplasms,DE,crude_rate,217.8
1999,Neoplasms,DC,deaths,1370
1999,Neoplasms,DC,population,570213
1999,Neoplasms,DC,crude_rate,240.3
2000,Neoplasms,DC,deaths,1364
2000,Neoplasms,DC,population,572059
2000,Neoplasms,DC,crude_rate,238.4
2001,Neoplasms,DC,deaths,1352
2001,Neoplasms,DC,population,574504
2001,Neoplasms,DC,crude_rate,235.3
2002,Neoplasms,DC,deaths,1324
2002,Neoplasms,DC,population,573158
2002,Neoplasms,DC,crude_rate,231
2003,Neoplasms,DC,deaths,1144
2003,Neoplasms,DC,population,568502
2003,Neoplasms,DC,crude_rate,201.2
2004,Neoplasms,DC,deaths,1175
2004,Neoplasms,DC,population,567754
2004,Neoplasms,DC,crude_rate,207
2005,Neoplasms,DC,deaths,1168
2005,Neoplasms,DC,population,567136
2005,Neoplasms,DC,crude_rate,205.9
2006,Neoplasms,DC,deaths,1207
2006,Neoplasms,DC,population,570681
