Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,5,6,5,Cheatham Hill,5.54,332,14.3,40.9,1.25,28.96,41.5,1661,2,39.1
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,6,6,1,Caralicious,5.62,332,2.6,40.2,0.25,29.16,41.5,1660,1,38.8
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,7,6,2,Smokin Princess,5.62,331,6.4,40.1,0,29.17,41.3,1659,0,38.8
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,1,7,7,Ma Meatloaf,5.88,338,10.6,39.2,0.1,34.13,42.2,1998,0,39.9
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,2,7,3,Shanghai Bonnie,5.85,334,5.8,38.9,1,34.15,42.3,1994,-4,39.8
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,3,7,4,Eight Oaks,5.8,337,10.3,39.6,1.25,34.33,42,1996,-2,39.6
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,4,7,6,Chillinwithfriends,5.8,341,12.5,40.1,2.25,34.53,42,2001,3,39.5
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,5,7,5,Cheatham Hill,5.91,343,16.9,39.6,1.5,34.88,41.5,2004,6,39.2
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,6,7,1,Caralicious,5.97,334,4.5,38.1,0.25,35.13,41.5,1994,-4,38.7
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,7,7,2,Smokin Princess,6,339,11.8,38.5,0,35.17,41.3,1998,0,38.7
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,1,8,7,Ma Meatloaf,6.17,340,15.6,37.5,0.25,40.31,42.2,2337,0,39.5
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,2,8,3,Shanghai Bonnie,6.2,335,9.4,36.9,0.75,40.36,42.3,2330,-7,39.4
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,3,8,4,Eight Oaks,6.17,340,16.4,37.5,1,40.5,42,2336,-1,39.3
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,4,8,6,Chillinwithfriends,6.14,341,20.3,37.8,0.75,40.68,42,2341,4,39.2
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,5,8,5,Cheatham Hill,5.91,342,13.9,39.4,3.5,40.79,41.5,2346,9,39.2
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,6,8,1,Caralicious,6.23,334,8.4,36.6,0.1,41.37,41.5,2328,-9,38.4
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,7,8,2,Smokin Princess,6.2,339,13.4,37.3,0,41.38,41.3,2337,0,38.5
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,1,9,7,Ma Meatloaf,6.26,342,9.3,37.2,0.75,46.57,42.2,2679,0,39.2
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,2,9,4,Eight Oaks,6.17,343,15.6,37.8,0.5,46.68,42,2679,0,39.1
Aqueduct,Race 1,28000,11/1/2019,6.5 Furlongs,Dirt,3,9,3,Shanghai Bonnie,6.37,339,7.1,36.2,1.25,46.73,42.3,2668,-11,38.9
